order_id,product_id,add_to_cart_order,reordered,user_id,order_number,order_dow,order_hour_of_day,days_since_prior_order,product_name,aisle,department,age,gender,location
2552,152,8,0,494,9,2,0,27,Sandwich,beverages,dairy,37,Female,Suburban
944,184,5,0,175,12,6,11,11,Pasta,fresh fruits,dairy,56,Female,Urban
2682,14,6,1,196,5,5,23,25,Noodles,beverages,produce,46,Male,Suburban
3271,147,4,1,163,19,1,9,7,Noodles,snacks,dairy,35,Female,Urban
3787,15,6,1,100,19,5,14,26,Pizza,fresh fruits,dairy,52,Male,Suburban
3740,122,9,0,45,1,4,0,19,Burger,fresh fruits,grocery,22,Female,Urban
3471,166,1,1,219,3,4,0,14,Pizza,snacks,produce,52,Male,Rural
1327,139,8,0,911,7,2,16,25,Noodles,bakery desserts,produce,31,Female,Rural
2857,155,3,1,123,15,4,2,20,Burger,bakery desserts,grocery,53,Female,Urban
4348,78,1,1,916,10,0,14,28,Burger,bakery desserts,beverages,26,Male,Rural
2750,52,7,0,981,15,4,16,24,Salad,prepared meals,frozen,20,Male,Rural
1001,57,3,1,147,8,1,4,24,Salad,beverages,dairy,27,Male,Suburban
1909,147,1,0,416,16,3,3,24,Noodles,snacks,dairy,19,Female,Rural
1788,38,2,1,9,16,5,20,26,Pizza,prepared meals,dairy,20,Female,Urban
1101,142,7,0,699,1,3,9,4,Biryani,beverages,frozen,58,Male,Suburban
3227,73,9,1,711,4,5,4,5,Biryani,fresh fruits,dairy,33,Male,Suburban
3654,123,8,1,489,8,2,1,10,Burger,snacks,grocery,28,Female,Rural
2500,195,8,1,94,11,2,23,26,Burger,fresh fruits,produce,49,Male,Urban
3035,97,2,1,887,19,3,12,16,Noodles,snacks,dairy,57,Male,Urban
3668,59,6,0,491,12,0,13,5,Biryani,bakery desserts,frozen,57,Female,Suburban
1451,124,6,1,586,5,1,15,25,Sandwich,prepared meals,produce,26,Male,Suburban
3745,198,3,1,194,16,2,9,12,Pasta,snacks,frozen,59,Female,Urban
3767,91,7,1,95,9,5,0,13,Pasta,beverages,grocery,57,Female,Suburban
4206,65,9,0,667,10,5,21,25,Noodles,bakery desserts,produce,46,Male,Suburban
3327,164,5,0,500,2,5,16,1,Pizza,snacks,produce,32,Female,Urban
4033,183,2,1,985,5,4,6,15,Burger,fresh fruits,frozen,35,Female,Suburban
693,93,6,1,732,8,6,6,7,Noodles,fresh fruits,frozen,59,Male,Suburban
2177,119,3,0,69,6,0,10,11,Burger,snacks,frozen,40,Male,Rural
928,27,2,1,977,12,1,1,9,Noodles,fresh fruits,frozen,21,Female,Urban
1370,194,6,1,125,2,2,12,17,Sandwich,prepared meals,beverages,24,Male,Urban
984,14,1,1,304,15,3,22,7,Noodles,beverages,produce,46,Female,Urban
1359,156,3,0,491,4,2,20,11,Noodles,prepared meals,beverages,57,Female,Suburban
1374,188,3,1,231,6,1,9,14,Burger,prepared meals,beverages,57,Male,Suburban
3553,21,8,1,621,13,5,10,9,Burger,bakery desserts,frozen,27,Female,Suburban
1407,185,1,0,740,15,2,12,12,Soup,beverages,frozen,33,Female,Rural
353,131,3,0,524,17,5,15,8,Soup,bakery desserts,beverages,28,Male,Suburban
4071,116,8,1,688,16,1,22,24,Noodles,beverages,dairy,42,Male,Urban
2387,19,5,1,602,7,6,12,1,Pizza,snacks,produce,38,Male,Rural
1168,133,7,0,790,15,0,11,22,Burger,bakery desserts,produce,49,Male,Rural
1724,130,9,0,510,9,0,13,25,Sandwich,beverages,beverages,54,Male,Urban
1705,62,9,1,958,4,4,17,5,Soup,snacks,grocery,18,Male,Suburban
4617,61,6,1,423,1,4,20,26,Soup,beverages,beverages,37,Female,Rural
1488,159,7,1,627,5,6,16,29,Pizza,bakery desserts,grocery,41,Male,Urban
4312,30,5,0,491,17,4,19,22,Noodles,prepared meals,beverages,57,Female,Suburban
1226,168,1,1,74,3,0,6,22,Burger,bakery desserts,produce,52,Female,Suburban
3588,200,9,0,463,19,0,18,4,Pasta,prepared meals,beverages,35,Female,Rural
1956,88,7,0,246,13,2,21,13,Pasta,snacks,grocery,21,Female,Suburban
1887,83,3,1,27,15,1,2,25,Salad,snacks,produce,49,Male,Rural
4241,51,6,1,336,5,1,3,2,Biryani,beverages,beverages,49,Male,Urban
2001,117,8,1,797,6,6,13,12,Burger,fresh fruits,produce,24,Male,Rural
741,102,2,0,546,14,3,10,14,Biryani,prepared meals,beverages,30,Female,Suburban
4590,136,6,1,351,11,0,1,6,Sandwich,fresh fruits,dairy,35,Female,Urban
4453,10,4,0,438,19,0,9,23,Biryani,beverages,beverages,34,Female,Suburban
3058,135,6,0,673,6,6,5,7,Sandwich,snacks,produce,48,Female,Suburban
4830,23,8,0,274,9,1,18,1,Burger,snacks,dairy,48,Female,Suburban
2379,167,3,1,827,10,6,15,25,Soup,bakery desserts,beverages,18,Male,Rural
1286,54,8,0,999,9,3,15,29,Sandwich,beverages,beverages,55,Female,Urban
1732,172,8,1,118,4,5,16,28,Biryani,prepared meals,dairy,32,Male,Rural
1948,151,7,0,913,8,4,14,2,Salad,bakery desserts,beverages,49,Male,Urban
3440,137,8,0,894,14,6,14,17,Salad,prepared meals,produce,53,Male,Suburban
2704,26,5,0,61,6,4,2,15,Burger,snacks,dairy,56,Female,Urban
3898,177,4,1,799,4,6,21,22,Burger,snacks,frozen,21,Female,Suburban
1817,174,1,1,534,8,1,22,6,Burger,fresh fruits,grocery,34,Female,Urban
3153,179,4,1,145,18,1,23,29,Noodles,snacks,frozen,19,Female,Suburban
1273,11,4,1,496,10,4,1,15,Biryani,fresh fruits,beverages,25,Female,Suburban
2315,183,7,1,108,14,5,15,26,Burger,fresh fruits,frozen,59,Female,Urban
2156,112,1,1,840,3,4,12,2,Soup,prepared meals,beverages,20,Female,Suburban
107,197,9,1,776,7,1,15,20,Salad,beverages,produce,46,Female,Suburban
4817,88,3,0,517,5,1,23,9,Pasta,snacks,grocery,34,Female,Urban
4630,106,4,0,743,11,4,12,10,Soup,snacks,dairy,30,Female,Rural
2490,125,5,0,132,19,5,21,10,Sandwich,beverages,beverages,57,Male,Urban
